Date,"Tesla, Inc.",S&P 500,Exxon Mobil Corporation,Walmart Inc.,JPMorgan Chase & Co.
2021-08-12,15088.98046875,4460.830078125,49.98545455932617,47.177242279052734,145.4957275390625
2021-08-16,15140.76953125,4479.7099609375,48.75651168823242,47.712120056152344,142.92376708984375
2021-08-17,15002.830078125,4448.080078125,48.42530822753906,47.69628143310547,141.19711303710938
2021-08-18,14857.919921875,4400.27001953125,47.405555725097656,47.18989562988281,139.9111328125
2021-08-19,14933.9404296875,4405.7998046875,45.95872116088867,47.50956344604492,138.74205017089844
2021-08-20,15092.5703125,4441.669921875,45.967445373535156,47.93367385864258,139.13772583007812
2021-08-23,15312.8203125,4479.52978515625,47.8587760925293,47.61716842651367,140.91831970214844
2021-08-25,15368.919921875,4496.18994140625,48.33815383911133,47.14558410644531,144.71334838867188
2021-08-26,15278.51953125,4470.0,47.68446350097656,46.63602066040039,145.4597625732422
2021-08-27,15432.9501953125,4509.3701171875,48.60834884643555,46.37333679199219,146.6288299560547
2021-08-30,15605.08984375,4528.7900390625,48.07667922973633,46.74679946899414,144.28170776367188
2021-08-31,15582.509765625,4522.68017578125,47.51885986328125,46.87339782714844,143.8410186767578
2021-09-01,15611.5703125,4524.08984375,46.86517333984375,46.77211380004883,143.63417053222656
2021-09-02,15604.25,4536.9501953125,48.006954193115234,47.01898193359375,144.29966735839844
2021-09-03,15652.8603515625,4535.43017578125,47.82392501831055,47.23736572265625,143.4273681640625
2021-09-07,15675.759765625,4520.02978515625,47.54500198364258,46.61069869995117,143.17556762695312
2021-09-09,15561.0498046875,4493.27978515625,47.144081115722656,46.34168243408203,143.15757751464844
2021-09-10,15440.75,4458.580078125,47.0482063293457,46.17393493652344,141.51185607910156
2021-09-13,15434.5,4468.72998046875,48.25971221923828,45.9112434387207,143.76010131835938
2021-09-14,15382.900390625,4443.0498046875,47.5711555480957,45.67070007324219,141.2510986328125
2021-09-15,15503.5302734375,4480.7001953125,49.17487335205078,45.74983215332031,142.23129272460938
2021-09-16,15515.91015625,4473.75,48.65192794799805,45.90174865722656,142.1683349609375
2021-09-17,15333.4697265625,4432.990234375,48.07667922973633,45.80679702758789,141.79966735839844
2021-09-20,15012.1904296875,4357.72998046875,46.79544448852539,45.17696762084961,137.55499267578125
2021-09-21,15027.76953125,4354.18994140625,46.751869201660156,45.26558303833008,137.572998046875
2021-09-22,15176.509765625,4395.64013671875,48.12024688720703,45.1611442565918,140.20790100097656
2021-09-23,15316.580078125,4448.97998046875,49.750118255615234,45.186458587646484,144.94717407226562
2021-09-24,15329.6796875,4455.47998046875,50.19463348388672,45.31306457519531,146.61981201171875
2021-09-27,15204.8203125,4443.10986328125,51.68503952026367,45.021888732910156,150.1630401611328
2021-09-28,14770.2998046875,4352.6298828125,52.225425720214844,44.4680061340332,149.35366821289062
2021-09-29,14752.8896484375,4359.4599609375,52.190555572509766,44.44902038574219,149.23675537109375
